Q/A,QA,Category_1
question,"Sir, would you please tell us your full name.",wh
answer,Neil Alan Simmons.,sno
question,"Let me ask you, sir, you have been identified on behalf of Philip Morris USA, Inc., '3 which I will probably just refer to as Philip Morris, if that's satisfactory with you.",bin-d
answer,Yes.,y
question,"You have been identified as a potential rebuttal expert in this case. Are you aware of that, sir?",bin-d
question,"Mr. Simmons, what is your current title, please?",wh
answer,My current title is vice president of finance for Altria Client Services. And in that capacity I am the CFO and treasurer for Philip Morris USA.,sno
question,CFO stands for chief financial officer?,nu
answer,Yes.,y
question,"Would I be correct then that insofar as the structure of Philip Morris is concerned, that you are the top person in charge of finance and financial activities of Philip Morris?",bin-d
answer,Yes.,y
question,"Now, as part of the disclosure, and let me ask you this, when I refer to the disclosure, have you looked at the disclosure that was filed in this case which named you as a potential witness?",bin-d
answer,"No, not to the best of my knowledge.",n
question,"Well, the first paragraph of that disclosure gives information concerning your title, which we have just discussed, and it also contains information concerning your education and attaches a curriculum vitae as an exhibit. All right, sir? That's the first paragraph. The second paragraph states that you are an expert in the field of accounting and finance. It goes on to say, ""without waiving its right to challenge the admissibility of any financial evidence, PM USA states that Mr. Simmons may address PM USA's net worth/total stockholders equity and its financial statements and any PM USA financial information that the Court determines to be relevant to punitive damages."" The third paragraph says, ""Mr. Simmons may be asked to analyze the appropriateness of the analysis presented by Plaintiff's experts and to rebut any opinions presented by Plaintiff's experts at deposition or at trial in Mr. Simmons' field of expertise."" The fourth paragraph, paraphrasing, states basically your testimony will be based on your knowledge, education, training, and experience in working for FM USA, as well as publicly available financial information, including disclosures filed with the Securities and Exchange Commission by Altria Group, Inc. containing financial statements of FM USA. Now, having given that information to you, do you now understand the scope of the disclosure and the scope of the role that has been represented to us that you will play in the Lourie case?",bin-d
answer,"Yes, I do.",y
question,"You have been named as an expert witness in other smoking and health-related cases, have you not?",bin-d
answer,"Yes, to the best of my knowledge.",y
question,And is the disclosure which I just went over with you the same type of disclosure which has 0 been made for you in any of these other cases in which you have appeared?,bin-d
question,"I wanted to ask you just a bit about your background. And, first of all, sir, what is your date of birth? Personal Confidential Redacted Where were you born?",wh-d
answer,"In Philadelphia, Pennsylvania.",sno
question,"Now, according to the CD that was attached to the disclosure, you obtained a Bachelor of Science degree in accounting from Hampton University in 1984, correct?",bin-d
answer,Yes.,y
question,"It is my understanding that in 1983 you had an internship at Philip Morris, correct, sir?",bin-d
answer,That is correct.,y
question,"Now, after graduating from Hampton University, your CV reflects that from June until June 1986 you worked for Goodman 6 Company on Hampton Roads. Is that accurate?",bin-d
answer,"I worked for Goodman & Company, which is a public accounting firm that was located in the Hampton Roads area.",sno
question,"Now, did you have your accounting certification when you worked for Goodman & Company?",bin
answer,"No, I did not.",n
question,Where is Goodman & Company or let me start over. Where was Goodman & Company located when you worked for it?,wh
answer,"In Norfolk, Virginia.",sno
question,What sort of work did you do for Goodman & Company?,wh
answer,I provided auditing and tax services for the clients that I was assigned to.,sno
question,Can you give me an example of the clients that you were assigned to?,bin
answer,I don't recall the specific clients. That was a good many years ago.,dno
question,"Yes, sir. I certainly understand that. Did you do any work for Philip Morris when you were at Goodman?",bin
answer,"No, I did not.",n
question,Did you do any work for any other tobacco companies or tobacco-related businesses?,bin
answer,"No, I did not.",n
question,Your CV reflects that in June of 1986 you went to work for Philip Morris USA; is that 2 accurate?,bin-d
answer,That is correct.,y
question,"And I assume, basically, you did and the rest is history, so to speak?",bin
answer,Yes.,y
question,Can you explain to those of us who don't know what that means basically what you did as an inventory accountant?,wh
answer,"As an inventory accountant, I was responsible for the recording and balancing of transactions associated with direct materials for the cigarette products.",sno
question,"I'm sorry, associated with what?",nu
answer,"The cigarette packaging materials. So, for example, boxes, labels, tear tape. So as items were purchased and placed into inventory, I had accounting and balancing and reporting responsibilities during that time period.",sno
question,"Now, looking at your CV again, it shows in October of 1991 and continuing through July of 1993 you became a supervisor in inventory accounting, correct?",bin-d
answer,That is correct.,y
question,And is it safe to assume that it was basically the same type of function which you had been doing as an inventory accountant with the exception that you were now supervising other accountants in that same task?,bin-d
answer,That is correct.,y
question,"In July of 1993 and continuing through March of 1995, your CV -- short for curriculum vitae, which I am going to use CV from now on -- shows manager cash disbursements, correct?",bin-d
question,Would you please describe for us what that was all about?,wh
answer,"That position, in that position I was responsible for the Payroll and Accounts Payable Departments for Philip Morris USA.",sno
question,"It shows then in March of 1995 through August of 1996 you were a manager. And it appears you are now back in inventory accounting, correct?",bin-d
answer,That is correct.,y
question,"Now, I assume, and you please correct me if I am wrong, that a manager's position is a higher level position than that of a supervisor?",bin-d
answer,That is correct.,y
question,"From August of 1996 until August of 2000, a four-year period of time, it says that you were plant controller. True?",bin-d
answer,That is correct.,y
question,"Now, please tell us what that entails, being a plant controller.",wh
answer,"As the plant controller, I kept up with the accounting for Philip Morris USA manufacturing facility, including keeping up with the cost of direct materials, materials that were work in process and finished goods.",sno
question,"I thought I heard you say ""facility."" Has there more than one plant facility?",bin-d
answer,"During that four-year period, I was the plant controller at, at one facility and then another facility, but they were both Philip Morris USA manufacturing plants.",sno
question,"Did these two different plants have names? And, if so, would you please tell us what what they were?",wh
answer,"Yes. One was the Louisville Manufacturing Center, and one was the Richmond Manufacturing Center.",y-d
question,"Now, during the four years that you were plant controller, can you tell me what brands of cigarettes were manufactured at these two different plants?",wh-d
answer,I don't recall the exact brands that were manufactured at the respective plants.,dno
question,"Did each plant manufacture all brands, both Philip Morris cigarettes or were certain brands assigned to be manufactured at certain plants?",or
answer,There were brands that were assigned to each facility to be manufactured.,sno
question,"Okay. But insofar as being able to tell us any particular brand being assigned to either one of the two plants, you are unable to do that?",bin-d
answer,That is correct. I don't recall the specific brands.,dno
question,"Okay. Back to your CV, it shows August of 2000 until October of 2000. I guess that's roughly two months you were senior manager, disbursements. Correct?",bin-d
answer,That is correct.,y
question,Would you please describe what that was all about?,wh
answer,That was responsibility for the Accounts Payable and the Payroll Departments for Philip Morris USA.,sno
question,Now you are at the senior manager level. I assume that that is a step up from where you were plant controller?,bin-d
answer,"No, at that time they were comparable positions, same grade,",n-d
question,"Okay. Your CV then shows from October 2000 until March 2001, you were director, leaf inventory accounting. Please tell us what, you know, what sort of job you had there?",wh-d
answer,I had responsibility for the accounting and the management reporting over the leaf or tobacco inventory that was purchased and recorded into inventory.,sno
question,Was that for the entire Philip Morris USA company?,bin
answer,That is correct.,y
question,Was the title director associated with a promotion from senior manager?,bin
answer,Yes.,y
question,"From March 2001 until May 2004, it says director, financial controls. Would you please explain what your responsibilities were in connection with that position?",wh-d
answer,I had responsibility for maintaining financial policies and performing audits within Philip Morris USA against those policies.,sno
question,"Please give us an idea, sir, of what type of policies you would have dealt with?",wh
answer,"Just a couple of examples would be procureraent procedures, travel and entertainment, as a couple of examples.",sno
question,Basically would that position then have been that you performed audits on the various functions of Philip Morris to see that they were in compliance with these policies?,bin-d
answer,That is correct.,y
question,"Were you involved in formulation or, I'm sorry, were you involved in the formulation of any of the policies?",or
answer,"No, not to the best of my knowledge.",n
question,"Your CV then shows working forward to the present, May of 2004 until August of 2005, assistant 0 controller, sales. Please describe your responsibilities in that area.",wh-d
answer,"Provided accounting, reporting, and budgeting services in support of our sales organization.",sno
question,"When you say in support of your sales organization, does that include, for example, the marketing function, advertising function, direct sales, all of those types of things?",bin-d
answer,"No. That sales function primarily focused on the field sales force, the sales force, items like fixtures, travel, things of that nature but did not include marketing and brand responsibilities.",n-d
question,"From September of 2006 until December of 2007, your CV lists assistant controller, sales and brand management. Correct?",bin-d
answer,That is correct.,y
question,Please tell us what that was all about.,wh
answer,Provided accounting and reporting and budgeting services to our sales and brand or otherwise known as our Marketing Departments for Philip Morris DSA.,sno
question,"Now, as assistant controller of sales and brand management, and I guess this would be more in the area of brand management or marketing since you have already described what sales involves, were you 3 involved, sir, in establishing the financial 4 considerations with respect to particular brands insofar as their marketing was concerned?",qo
answer,Could you repeat your question? I am not clear on what you are asking.,confront
